date,ron95,ron97,diesel,ron95_budi95,USD,index,state,division,Rate,fuel_pressure,inflation_pressure,fx_pressure,policy_pressure,raw_cfpi,cfpi,cfpi_trend,risk_flag
2020-08-01,1.68,1.98,1.83,1.68,4.2425,122.3,Pulau Pinang,overall,1.75,0.06226127839034772,0.2614298332130942,-1.205414531588397,0,0.07341188367840165,50.846740527117404,2.826076850990354,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,116.0,Perak,overall,1.75,0.06226127839034772,0.3269296318842436,-1.205414531588397,0,0.08212682327698688,56.150652068440046,2.925867537268772,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,117.5,Pahang,overall,1.75,0.06226127839034772,0.36041938666494633,-1.205414531588397,0,0.1125832655521693,58.74139181926252,3.239780531845362,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,120.5,Negeri Sembilan,overall,1.75,0.06226127839034772,0.3734320134121811,-1.205414531588397,0,0.10360489616601935,58.18351231470208,3.0462908866609624,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,117.9,Melaka,overall,1.75,0.06226127839034772,0.26875981168620877,-1.205414531588397,0,0.07712580133993686,57.0749320069012,2.595107320764356,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,118.9,Kelantan,overall,1.75,0.06226127839034772,0.3789986378888976,-1.205414531588397,0,0.11237255665113366,57.40688122076623,3.890064934548633,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,117.3,Kedah,overall,1.75,0.06226127839034772,0.2858771089890826,-1.205414531588397,0,0.08833385528446928,47.9200100190638,3.1600216675856103,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,123.2,Johor,overall,1.75,0.06226127839034772,0.341468462839019,-1.205414531588397,0,0.08975443960092806,56.947827008099594,2.96734427277341,Moderate
2020-08-01,1.68,1.98,1.83,1.68,4.2425,113.1,Perlis,overall,1.75,0.06226127839034772,0.3621390820446949,-1.205414531588397,0,0.11731448662268805,54.42422278047759,3.2399784764030457,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,112.6,Sabah,overall,1.75,0.14271159765775074,0.729383997917353,-1.254594676084232,0,0.02998896968406156,54.43322986852852,-2.815934391124614,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,120.8,W.P. Putrajaya,overall,1.75,0.14271159765775074,0.9064094980300951,-1.254594676084232,0,0.17001673760706293,52.934135573115356,-1.0074805310024004,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,115.9,W.P. Labuan,overall,1.75,0.14271159765775074,0.7934445928289005,-1.254594676084232,0,0.027940176880782475,49.24080197529838,-2.7160520420916896,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,122.6,W.P. Kuala Lumpur,overall,1.75,0.14271159765775074,0.9743177128109669,-1.254594676084232,0,0.03193059024616037,51.38151936471451,-1.213438731223519,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,115.7,Terengganu,overall,1.75,0.14271159765775074,0.7305256768851426,-1.254594676084232,0,0.09167679978310811,57.5432303279943,-3.5347704377169933,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,123.7,Selangor,overall,1.75,0.14271159765775074,0.7635063366839892,-1.254594676084232,0,0.038609555214975826,54.63381075182841,-2.7714862256039936,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,114.4,Sarawak,overall,1.75,0.14271159765775074,0.649331531131901,-1.254594676084232,0,0.02931554474729638,54.439983258812795,-3.4664433536581853,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,122.2,Pulau Pinang,overall,1.75,0.14271159765775074,0.6408860573931154,-1.254594676084232,0,-0.003735641403528417,46.766224900896475,-4.0805156262209294,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,123.1,Johor,overall,1.75,0.14271159765775074,0.559080398845292,-1.254594676084232,0,0.003851155546436391,53.029278976119244,-3.9185480319803503,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,115.9,Perak,overall,1.75,0.14271159765775074,0.6928383891023493,-1.254594676084232,0,0.014458480695924444,52.90807865422478,-3.242573414215265,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,117.5,Pahang,overall,1.75,0.14271159765775074,0.7087971683386344,-1.254594676084232,0,0.03199533370891986,54.88499795032728,-3.8563938689352355,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,120.5,Negeri Sembilan,overall,1.75,0.14271159765775074,0.7469079215801192,-1.254594676084232,0,0.03703092436802183,55.11518610467484,-3.0683262100272373,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,117.9,Melaka,overall,1.75,0.14271159765775074,0.7271506154360871,-1.254594676084232,0,0.01280410470546861,54.08853010249084,-2.986401904410357,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,118.8,Kelantan,overall,1.75,0.14271159765775074,0.8060040806310589,-1.254594676084232,0,0.055646341606833516,54.7218281542411,-2.6850530665251284,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,117.3,Kedah,overall,1.75,0.14271159765775074,0.7059643707637331,-1.254594676084232,0,0.01946682665970691,44.061436092882545,-3.8585739261812577,Moderate
2020-09-01,1.72,2.02,1.78,1.72,4.1475,112.9,Perlis,overall,1.75,0.14271159765775074,0.5951810290430194,-1.254594676084232,0,0.021532325406218206,49.55770270086692,-4.866520079610673,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,112.6,Sabah,overall,1.75,-0.510531293165356,0.4917768420116519,-0.7446974193080488,0,-0.06408945255101588,50.12931809066072,-4.303911777867803,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,121.1,W.P. Putrajaya,overall,1.75,-0.510531293165356,0.696206639978202,-0.7446974193080488,0,0.044125044068296204,46.088307604969856,-6.8458279681455,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,115.8,W.P. Labuan,overall,1.75,-0.510531293165356,0.445305893000161,-0.7446974193080488,0,-0.06099737381020361,44.71089340644588,-4.529908568852505,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,122.6,W.P. Kuala Lumpur,overall,1.75,-0.510531293165356,0.7218950705570766,-0.7446974193080488,0,-0.01220825547337089,49.20366569586003,-2.1778536688544747,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,115.7,Terengganu,overall,1.75,-0.510531293165356,0.4186894942502942,-0.7446974193080488,0,-0.0385242437603514,51.60434018007938,-5.938890147914918,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,123.8,Selangor,overall,1.75,-0.510531293165356,0.4151748902005486,-0.7446974193080488,0,-0.06459796354323467,49.82793766462739,-4.805873087201022,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,114.5,Sarawak,overall,1.75,-0.510531293165356,0.4143679869144537,-0.7446974193080488,0,-0.07626285710644104,49.66115326136265,-4.778829997450146,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,122.3,Pulau Pinang,overall,1.75,-0.510531293165356,0.4056301200899582,-0.7446974193080488,0,-0.09160924892921805,42.118381327688084,-4.647843573208391,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,112.9,Perlis,overall,1.75,-0.510531293165356,0.26284869689004764,-0.7446974193080488,0,-0.10184992257969876,43.288871640206736,-6.268831060660183,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,115.9,Perak,overall,1.75,-0.510531293165356,0.3305896892157712,-0.7446974193080488,0,-0.0866612173201618,48.062562539393866,-4.8455161148309145,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,117.5,Pahang,overall,1.75,-0.510531293165356,-0.008746891092866825,-0.7446974193080488,0,-0.12048148938752103,47.588487513906486,-7.296510436420796,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,120.5,Negeri Sembilan,overall,1.75,-0.510531293165356,0.3263004518505225,-0.7446974193080488,0,-0.07542823837877503,49.93205841536229,-5.183127689312549,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,117.9,Melaka,overall,1.75,-0.510531293165356,0.3696009166051526,-0.7446974193080488,0,-0.08489329340890196,49.55252264232159,-4.536007460169252,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,118.8,Kelantan,overall,1.75,-0.510531293165356,0.5572596854125977,-0.7446974193080488,0,-0.04093900305163966,50.15010103206149,-4.57172712217961,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,117.2,Kedah,overall,1.75,-0.510531293165356,0.16253931653433545,-0.7446974193080488,0,-0.10952519061027001,36.83409894094263,-7.227337151939913,Moderate
2020-10-01,1.68,1.98,1.71,1.68,4.148,123.1,Johor,overall,1.75,-0.510531293165356,0.11762262635236342,-0.7446974193080488,0,-0.12541627657282553,47.132640130405605,-5.896638845713639,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,115.7,W.P. Labuan,overall,1.75,-0.6478539703135037,-0.2049017247938682,-0.16714515146822395,0,-0.12538082758537203,41.431613094783174,-3.2792803116627027,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,122.5,W.P. Kuala Lumpur,overall,1.75,-0.6478539703135037,-1.0023130495501142,-0.16714515146822395,0,-0.1650415474273861,41.66272210797924,-7.54094358788079,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,115.5,Terengganu,overall,1.75,-0.6478539703135037,-0.1264879664127413,-0.16714515146822395,0,-0.12667834248849671,47.5833469976388,-4.020993182440584,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,123.6,Selangor,overall,1.75,-0.6478539703135037,-1.0605526107241219,-0.16714515146822395,0,-0.23221484448742932,42.02283328092959,-7.8051043836978025,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,114.4,Sarawak,overall,1.75,-0.6478539703135037,-0.7909498836412491,-0.16714515146822395,0,-0.21417572569221557,43.41875764009601,-6.242395621266638,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,112.5,Sabah,overall,1.75,-0.6478539703135037,-0.8610229120197583,-0.16714515146822395,0,-0.2039804247833991,43.72956787478343,-6.39975021587729,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,122.1,Pulau Pinang,overall,1.75,-0.6478539703135037,-1.674308785226593,-0.16714515146822395,0,-0.3192389872762218,30.078504438168927,-12.039876889519157,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,120.7,W.P. Putrajaya,overall,1.75,-0.6478539703135037,0.1358600510387829,-0.16714515146822395,0,-0.043174294317318555,41.34108214853571,-4.747225456434144,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,115.6,Perak,overall,1.75,-0.6478539703135037,-1.4010956387233302,-0.16714515146822395,0,-0.290057731753419,38.31608279585268,-9.746479743541187,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,117.2,Pahang,overall,1.75,-0.6478539703135037,-1.5881707605713618,-0.16714515146822395,0,-0.3496105727607972,36.623917855584,-10.964569658322489,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,120.1,Negeri Sembilan,overall,1.75,-0.6478539703135037,-1.3550830838140375,-0.16714515146822395,0,-0.2788818992508741,40.55508745629101,-9.37697095907128,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,117.7,Melaka,overall,1.75,-0.6478539703135037,-1.2024189935116438,-0.16714515146822395,0,-0.25832438687769166,41.50026384133693,-8.05225880098466,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,118.6,Kelantan,overall,1.75,-0.6478539703135037,0.1761086137922351,-0.16714515146822395,0,-0.06640307205862388,48.94479627975226,-1.2053047523092317,Moderate
