,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
169,2022-11-03,2.05,3.95,2.15,,level,,2.15
170,2022-10-27,2.05,3.95,2.15,,level,,2.15
171,2022-10-20,2.05,3.95,2.15,,level,,2.15
172,2022-10-13,2.05,3.95,2.15,,level,,2.15
173,2022-10-06,2.05,3.95,2.15,,level,,2.15
174,2022-09-29,2.05,4.0,2.15,,level,,2.15
175,2022-09-22,2.05,4.05,2.15,,level,,2.15
176,2022-09-14,2.05,4.15,2.15,,level,,2.15
177,2022-09-08,2.05,4.2,2.15,,level,,2.15
178,2022-09-01,2.05,4.3,2.15,,level,,2.15
179,2022-08-25,2.05,4.3,2.15,,level,,2.15
180,2022-08-18,2.05,4.35,2.15,,level,,2.15
181,2022-08-11,2.05,4.4,2.15,,level,,2.15
182,2022-08-04,2.05,4.5,2.15,,level,,2.15
183,2022-07-28,2.05,4.55,2.15,,level,,2.15
184,2022-07-21,2.05,4.65,2.15,,level,,2.15
185,2022-07-14,2.05,4.75,2.15,,level,,2.15
186,2022-07-07,2.05,4.8,2.15,,level,,2.15
187,2022-06-30,2.05,4.84,2.15,,level,,2.15
188,2022-06-23,2.05,4.84,2.15,,level,,2.15
189,2022-06-16,2.05,4.83,2.15,,level,,2.15
190,2022-06-09,2.05,4.72,2.15,,level,,2.15
191,2022-06-02,2.05,4.7,2.15,,level,,2.15
192,2022-05-26,2.05,4.7,2.15,,level,,2.15
193,2022-05-19,2.05,4.33,2.15,,level,,2.15
194,2022-05-12,2.05,4.31,2.15,,level,,2.15
195,2022-05-05,2.05,3.94,2.15,,level,,2.15
196,2022-04-28,2.05,3.94,2.15,,level,,2.15
197,2022-04-21,2.05,3.81,2.15,,level,,2.15
198,2022-04-14,2.05,3.81,2.15,,level,,2.15
199,2022-04-07,2.05,3.81,2.15,,level,,2.15
200,2022-03-31,2.05,3.91,2.15,,level,,2.15
201,2022-03-24,2.05,3.83,2.15,,level,,2.15
202,2022-03-17,2.05,4.0,2.15,,level,,2.15
203,2022-03-10,2.05,3.75,2.15,,level,,2.15
204,2022-03-03,2.05,3.45,2.15,,level,,2.15
205,2022-02-24,2.05,3.29,2.15,,level,,2.15
206,2022-02-17,2.05,3.27,2.15,,level,,2.15
207,2022-02-10,2.05,3.21,2.15,,level,,2.15
208,2022-02-03,2.05,3.12,2.15,,level,,2.15
209,2022-01-27,2.05,3.12,2.15,,level,,2.15
210,2022-01-20,2.05,3.07,2.15,,level,,2.15
211,2022-01-13,2.05,3.07,2.15,,level,,2.15
212,2022-01-06,2.05,3.03,2.15,,level,,2.15
213,2021-12-30,2.05,3.0,2.15,,level,,2.15
214,2021-12-23,2.05,2.99,2.15,,level,,2.15
215,2021-12-16,2.05,3.0,2.15,,level,,2.15
216,2021-12-09,2.05,2.99,2.15,,level,,2.15
217,2021-12-02,2.05,3.02,2.15,,level,,2.15
218,2021-11-25,2.05,3.05,2.15,,level,,2.15
219,2021-11-18,2.05,3.08,2.15,,level,,2.15
220,2021-11-11,2.05,3.08,2.15,,level,,2.15
221,2021-11-04,2.05,3.06,2.15,,level,,2.15
222,2021-10-28,2.05,2.97,2.15,,level,,2.15
223,2021-10-21,2.05,2.87,2.15,,level,,2.15
224,2021-10-14,2.05,2.87,2.15,,level,,2.15
225,2021-10-07,2.05,2.77,2.15,,level,,2.15
226,2021-09-30,2.05,2.76,2.15,,level,,2.15
227,2021-09-23,2.05,2.75,2.15,,level,,2.15
228,2021-09-16,2.05,2.73,2.15,,level,,2.15
229,2021-09-09,2.05,2.73,2.15,,level,,2.15
230,2021-09-02,2.05,2.72,2.15,,level,,2.15
231,2021-08-26,2.05,2.72,2.15,,level,,2.15
232,2021-08-19,2.05,2.74,2.15,,level,,2.15
233,2021-08-12,2.05,2.74,2.15,,level,,2.15
234,2021-08-05,2.05,2.74,2.15,,level,,2.15
235,2021-07-28,2.05,2.74,2.15,,level,,2.15
236,2021-07-22,2.05,2.73,2.15,,level,,2.15
237,2021-07-15,2.05,2.73,2.15,,level,,2.15
238,2021-07-08,2.05,2.7,2.15,,level,,2.15
239,2021-07-01,2.05,2.69,2.15,,level,,2.15
240,2021-06-24,2.05,2.67,2.15,,level,,2.15
241,2021-06-17,2.05,2.67,2.15,,level,,2.15
242,2021-06-10,2.05,2.65,2.15,,level,,2.15
243,2021-06-03,2.05,2.63,2.15,,level,,2.15
244,2021-05-27,2.05,2.61,2.15,,level,,2.15
245,2021-05-20,2.05,2.61,2.15,,level,,2.15
246,2021-05-13,2.05,2.6,2.15,,level,,2.15
247,2021-05-06,2.05,2.6,2.15,,level,,2.15
248,2021-04-29,2.05,2.58,2.15,,level,,2.15
249,2021-04-22,2.05,2.58,2.15,,level,,2.15
250,2021-04-15,2.05,2.54,2.15,,level,,2.15
251,2021-04-08,2.05,2.54,2.15,,level,,2.15
252,2021-04-01,2.05,2.52,2.15,,level,,2.15
253,2021-03-25,2.05,2.5,2.15,,level,,2.15
254,2021-03-18,2.05,2.47,2.15,,level,,2.15
255,2021-03-11,2.05,2.4,2.15,,level,,2.15
256,2021-03-04,2.05,2.35,2.15,,level,,2.15
