date,financial_stress,income_job_anxiety,cost_of_living
2022-11-20,0.0,0.20545977011494254,0.27666666666666667
2022-11-27,0.0,0.17672413793103448,0.17873626373626372
2022-12-04,0.0,0.14597701149425288,0.1457692307692308
2022-12-11,0.0,0.13448275862068965,0.10963369963369962
2022-12-18,0.0,0.17097701149425287,0.09424908424908425
2022-12-25,0.0,0.17097701149425287,0.09782051282051282
2023-01-01,0.0,0.17097701149425287,0.19934065934065934
2023-01-08,0.0,0.22672413793103446,0.13478021978021978
2023-01-15,0.3333333333333333,0.1882183908045977,0.12144688644688643
2023-01-22,0.0,0.19022988505747127,0.1075824175824176
2023-01-29,0.0,0.1939655172413793,0.19948717948717948
2023-02-05,0.0,0.24339080459770113,0.11924908424908424
2023-02-12,0.0,0.2189655172413793,0.11622710622710623
2023-02-19,0.0,0.20172413793103447,0.11485347985347985
