Date,USD
21/06/2024,4.715
20/06/2024,4.711
19/06/2024,4.708
18/06/2024,4.7145
14/06/2024,4.713
13/06/2024,4.708
12/6/2024,4.718
11/6/2024,4.7235
10/6/2024,4.7165
7/6/2024,4.6955
6/6/2024,4.696
5/6/2024,4.6995
4/6/2024,4.694
31/05/2024,4.704
30/05/2024,4.709
29/05/2024,4.702
28/05/2024,4.6915
27/05/2024,4.7055
24/05/2024,4.719
23/05/2024,4.7155
21/05/2024,4.6915
20/05/2024,4.686
17/05/2024,4.685
16/05/2024,4.682
15/05/2024,4.702
14/05/2024,4.728
13/05/2024,4.7465
10/5/2024,4.7393
9/5/2024,4.742
8/5/2024,4.7465
7/5/2024,4.7425
6/5/2024,4.7415
3/5/2024,4.7395
2/5/2024,4.766
30/04/2024,4.7675
29/04/2024,4.7735
26/04/2024,4.7775
25/04/2024,4.7835
24/04/2024,4.7755
23/04/2024,4.779
22/04/2024,4.784
19/04/2024,4.7815
18/04/2024,4.776
17/04/2024,4.7935
16/04/2024,4.793
15/04/2024,4.7775
12/4/2024,4.7685
9/4/2024,4.7505
8/4/2024,4.753
5/4/2024,4.746
4/4/2024,4.74
3/4/2024,4.75
2/4/2024,4.749
1/4/2024,4.7235
29/03/2024,4.7285
27/03/2024,4.7295
26/03/2024,4.722
25/03/2024,4.7285
22/03/2024,4.7405
21/03/2024,4.702
20/03/2024,4.74
19/03/2024,4.728
18/03/2024,4.7165
15/03/2024,4.7025
14/03/2024,4.688
13/03/2024,4.6845
12/3/2024,4.6825
11/3/2024,4.6845
8/3/2024,4.6925
7/3/2024,4.7115
6/3/2024,4.731
5/3/2024,4.7265
4/3/2024,4.7285
1/3/2024,4.7385
29/02/2024,4.763
28/02/2024,4.761
27/02/2024,4.779
26/02/2024,4.7765
23/02/2024,4.777
22/02/2024,4.7925
21/02/2024,4.792
20/02/2024,4.792
19/02/2024,4.782
16/02/2024,4.7795
15/02/2024,4.7785
14/02/2024,4.7835
13/02/2024,4.766
9/2/2024,4.7725
8/2/2024,4.7645
7/2/2024,4.7665
6/2/2024,4.762
5/2/2024,4.756
2/2/2024,4.7295
31/01/2024,4.7305
30/01/2024,4.7285
29/01/2024,4.7315
26/01/2024,4.727
24/01/2024,4.734
23/01/2024,4.732
22/01/2024,4.7255
19/01/2024,4.714
18/01/2024,4.717
17/01/2024,4.7155
16/01/2024,4.6835
15/01/2024,4.6495
12/1/2024,4.6435
11/1/2024,4.642
10/1/2024,4.649
9/1/2024,4.6435
8/1/2024,4.65
5/1/2024,4.6505
4/1/2024,4.639
3/1/2024,4.6335
2/1/2024,4.6025
29/12/2023,4.5915
28/12/2023,4.617
27/12/2023,4.633
26/12/2023,4.6175
22/12/2023,4.6345
21/12/2023,4.6505
20/12/2023,4.6525
19/12/2023,4.679
18/12/2023,4.6845
15/12/2023,4.6655
14/12/2023,4.6615
13/12/2023,4.705
12/12/2023,4.6845
11/12/2023,4.6815
8/12/2023,4.666
7/12/2023,4.677
6/12/2023,4.673
5/12/2023,4.6665
4/12/2023,4.661
1/12/2023,4.6775
30/11/2023,4.653
29/11/2023,4.6475
28/11/2023,4.6725
27/11/2023,4.6805
24/11/2023,4.685
23/11/2023,4.6865
22/11/2023,4.6668
21/11/2023,4.6475
20/11/2023,4.664
17/11/2023,4.6835
16/11/2023,4.7105
15/11/2023,4.659
14/11/2023,4.72
10/11/2023,4.7215
9/11/2023,4.684
8/11/2023,4.67
7/11/2023,4.6605
6/11/2023,4.6665
3/11/2023,4.7395
2/11/2023,4.7525
1/11/2023,4.7735
31/10/2023,4.766
30/10/2023,4.757
27/10/2023,4.7755
26/10/2023,4.7875
25/10/2023,4.776
24/10/2023,4.7795
23/10/2023,4.78
20/10/2023,4.775
19/10/2023,4.762
18/10/2023,4.7405
17/10/2023,4.732
16/10/2023,4.739
13/10/2023,4.7335
12/10/2023,4.7215
11/10/2023,4.7265
10/10/2023,4.7345
9/10/2023,4.724
6/10/2023,4.7195
5/10/2023,4.721
4/10/2023,4.735
3/10/2023,4.725
2/10/2023,4.7045
29/09/2023,4.69
27/09/2023,4.7065
26/09/2023,4.692
25/09/2023,4.684
22/09/2023,4.6875
21/09/2023,4.6845
20/09/2023,4.6945
19/09/2023,4.694
18/09/2023,4.6858
15/09/2023,4.6785
14/09/2023,4.6813
13/09/2023,4.6805
12/9/2023,4.675
11/9/2023,4.677
8/9/2023,4.676
7/9/2023,4.6745
6/9/2023,4.671
5/9/2023,4.6605
4/9/2023,4.655
1/9/2023,4.641
